condition_id,family,input_identity,stage_A_role,stage_B_role,match_group,mandatory_control_role,early_mechanism_readouts,primary_material_endpoint,interpretive_ceiling
C0,BASELINE,BASE_MEDIUM,reference,reference,NONE,BASELINE,"surface_tension;oxygen_proxy;pH;osmolality",dry_BC_mass,CONTROL_ONLY
C1,VEHICLE,VEHICLE_BUFFER,vehicle_match,vehicle_match,NONE,BUFFER_CONTROL,"surface_tension;oxygen_proxy;pH;osmolality",dry_BC_mass,CONTROL_ONLY
C2,EXTREMOPHILE_DEFINED_FACTOR,PVLEA4,interface_calibration,locked_BC_challenge,M1,DEFINED_EXTREMOPHILE_FACTOR,"surface_tension;oxygen_proxy;pH;osmolality;total_protein",dry_BC_mass,P0_UNMEASURED
C3,MILK_DEFINED_FACTOR,HUMAN_LACTOFERRIN,interface_calibration,locked_BC_challenge,M1,DEFINED_MILK_SIDE_PROTEIN,"surface_tension;oxygen_proxy;pH;osmolality;total_protein",dry_BC_mass,P0_UNMEASURED
C4,LIPID_CONTROL,DPPC_ONLY,interface_calibration,locked_BC_challenge,M1,PHOSPHOLIPID_CONTROL,"surface_tension;oxygen_proxy;pH;osmolality;phospholipid_load",dry_BC_mass,CONTROL_ONLY
C5,MILK_INTERFACE_MODEL,HUMAN_LACTOFERRIN_PLUS_DPPC,interface_calibration,locked_BC_challenge,M1,DEFINED_PROTEIN_LIPID_INTERFACE_MODEL,"surface_tension;oxygen_proxy;pH;osmolality;total_protein;phospholipid_load",dry_BC_mass,P0_UNMEASURED
C6,GENERIC_PROTEIN_CONTROL,GENERIC_SOLUBLE_PROTEIN,interface_calibration,locked_BC_challenge,M1,GENERIC_PROTEIN_SPECIFICITY_CONTROL,"surface_tension;oxygen_proxy;pH;osmolality;total_protein",dry_BC_mass,CONTROL_ONLY
C7,EXTREMOPHILE_CARBOHYDRATE_CONTROL,TREHALOSE,confound_calibration,locked_BC_challenge,NONE,TREHALOSE_CARRYOVER_CONTROL,"surface_tension;oxygen_proxy;pH;osmolality;available_carbohydrate",dry_BC_mass,CONTROL_ONLY
C8,MILK_CARBOHYDRATE_CONTROL,LACTOSE,confound_calibration,locked_BC_challenge,NONE,LACTOSE_CARBON_OSMOLARITY_CONTROL,"surface_tension;oxygen_proxy;pH;osmolality;available_carbohydrate",dry_BC_mass,CONTROL_ONLY
C9,INTERFACE_REFERENCE,NON_NUTRITIONAL_SURFACE_TENSION_REFERENCE,interface_calibration,locked_BC_challenge,M1,INTERFACE_CAUSAL_REFERENCE,"surface_tension;oxygen_proxy;pH;osmolality",dry_BC_mass,REFERENCE_ONLY
