arm_id,stage,o2_transfer_zone,assimilable_n_zone,n_source_identity,co2_state,carbon_state,pH_osm_state,primary_endpoint,cell_activity_required,carbon_balance_class,selection_rule
A1,STAGE_A,O1_LOW,N1_LOW,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A2,STAGE_A,O1_LOW,N2_MID,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A3,STAGE_A,O1_LOW,N3_HIGH,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A4,STAGE_A,O2_MID,N1_LOW,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A5,STAGE_A,O2_MID,N2_MID,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A6,STAGE_A,O2_MID,N3_HIGH,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A7,STAGE_A,O3_HIGH,N1_LOW,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A8,STAGE_A,O3_HIGH,N2_MID,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
A9,STAGE_A,O3_HIGH,N3_HIGH,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,PREREGISTERED_3X3
B1,STAGE_B,SELECT_BY_FROZEN_GRADIENT_RULE,SELECT_BY_FROZEN_GRADIENT_RULE,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,MIDPOINT_OF_STEEPEST_ADJACENT_GRADIENT
B2,STAGE_B,SELECT_BY_FROZEN_GRADIENT_RULE,SELECT_BY_FROZEN_GRADIENT_RULE,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,LOWER_FLANK_OF_CANDIDATE_RIDGE
B3,STAGE_B,SELECT_BY_FROZEN_GRADIENT_RULE,SELECT_BY_FROZEN_GRADIENT_RULE,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,UPPER_FLANK_OF_CANDIDATE_RIDGE
B4,STAGE_B,SELECT_BY_FROZEN_GRADIENT_RULE,MATCHED_NEAREST_PRIMARY_GRID_LEVEL,ONE_DEFINED_ASSIMILABLE_N_SOURCE_IDENTITY_FROZEN,FIXED_OR_BOUNDED,FIXED,FIXED_OR_BOUNDED,BC_CARBON_ALLOCATION_PROXY,true,MEASURED,O2_AXIS_CONTROL
