condition_id,source_family,target_zone,input_level_status,mediator_match_required,orthogonal_role,primary_endpoint,independent_holdout_required,interpretive_ceiling
R0,BASELINE,Z0_BASELINE,FROZEN_REFERENCE,false,BASELINE,dry_BC_mass,true,CONTROL_ONLY
P1,PVLEA4,Z1_LOW,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_EXTREMOPHILE_FACTOR,dry_BC_mass,true,P0_UNMEASURED
P2,PVLEA4,Z2_MID,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_EXTREMOPHILE_FACTOR,dry_BC_mass,true,P0_UNMEASURED
P3,PVLEA4,Z3_HIGH,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_EXTREMOPHILE_FACTOR,dry_BC_mass,true,P0_UNMEASURED
L1,HUMAN_LACTOFERRIN,Z1_LOW,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_MILK_SIDE_DEFINED_PROTEIN,dry_BC_mass,true,P0_UNMEASURED
L2,HUMAN_LACTOFERRIN,Z2_MID,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_MILK_SIDE_DEFINED_PROTEIN,dry_BC_mass,true,P0_UNMEASURED
L3,HUMAN_LACTOFERRIN,Z3_HIGH,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_MILK_SIDE_DEFINED_PROTEIN,dry_BC_mass,true,P0_UNMEASURED
D1,HUMAN_LACTOFERRIN_PLUS_DPPC_INTERFACE_MODEL,Z1_LOW,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_PROTEIN_LIPID_INTERFACE_MODEL,dry_BC_mass,true,P0_UNMEASURED
D2,HUMAN_LACTOFERRIN_PLUS_DPPC_INTERFACE_MODEL,Z2_MID,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_PROTEIN_LIPID_INTERFACE_MODEL,dry_BC_mass,true,P0_UNMEASURED
D3,HUMAN_LACTOFERRIN_PLUS_DPPC_INTERFACE_MODEL,Z3_HIGH,SELECT_FROM_ABIOTIC_CALIBRATION,true,BIOLOGICAL_PROTEIN_LIPID_INTERFACE_MODEL,dry_BC_mass,true,P0_UNMEASURED
I1,NON_NUTRITIONAL_SURFACE_TENSION_REFERENCE,Z1_LOW,SELECT_FROM_ABIOTIC_CALIBRATION,true,ORTHOGONAL_INTERFACE_REFERENCE,dry_BC_mass,true,REFERENCE_ONLY
I2,NON_NUTRITIONAL_SURFACE_TENSION_REFERENCE,Z2_MID,SELECT_FROM_ABIOTIC_CALIBRATION,true,ORTHOGONAL_INTERFACE_REFERENCE,dry_BC_mass,true,REFERENCE_ONLY
I3,NON_NUTRITIONAL_SURFACE_TENSION_REFERENCE,Z3_HIGH,SELECT_FROM_ABIOTIC_CALIBRATION,true,ORTHOGONAL_INTERFACE_REFERENCE,dry_BC_mass,true,REFERENCE_ONLY
